algo,serie,taille,temps
quickSeuil,testset3,500000,3.752986908
quickSeuil,testset3,500000,8.105320215
quickRandomSeuil,testset3,500000,1.790311456
quickRandomSeuil,testset3,500000,1.722289634
quickRandomSeuil,testset3,500000,1.789017892
quickRandomSeuil,testset3,500000,1.763386321
quickRandomSeuil,testset3,500000,1.7378546
quickRandomSeuil,testset3,500000,1.739550018
quickRandomSeuil,testset3,500000,1.719800019
quickRandomSeuil,testset3,500000,1.754005694
quickRandomSeuil,testset3,500000,1.753210926
quickRandomSeuil,testset3,500000,1.749321079
